,ano-mes,ESTADO,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA
2457,2011-12,ACRE,12.0205,15.55725
2484,2012-01,ACRE,12.106875,15.54875
2511,2012-02,ACRE,12.3475,15.55125
2538,2012-03,ACRE,12.537,15.5525
2565,2012-04,ACRE,12.358125,15.58875
2592,2012-05,ACRE,12.4443125,15.588125
2619,2012-06,ACRE,12.3315,15.4815
2646,2012-07,ACRE,12.2353125,15.3425
2673,2012-08,ACRE,12.115,15.375625
2700,2012-09,ACRE,12.1565,15.378
2727,2012-10,ACRE,12.38375,15.389375
2754,2012-11,ACRE,12.96,15.3925
2781,2012-12,ACRE,12.548,15.392500000000002
2808,2013-01,ACRE,11.709111111111111,13.965222222222222
2835,2013-02,ACRE,10.95895,12.81495
2862,2013-03,ACRE,11.04712,12.943599999999998
2889,2013-04,ACRE,11.07315,13.4155
2916,2013-05,ACRE,11.07385,13.566999999999998
2943,2013-06,ACRE,10.942639999999999,13.703520000000001
2970,2013-07,ACRE,10.9688,13.978
2997,2013-08,ACRE,11.0634,13.948720000000002
3024,2013-09,ACRE,11.01905,13.9435
3051,2013-10,ACRE,10.787749999999999,13.9325
3078,2013-11,ACRE,11.0182,13.929200000000002
3105,2013-12,ACRE,11.08,14.05
3132,2014-01,ACRE,11.0658,14.056000000000001
3159,2014-02,ACRE,11.20345,14.0745
3186,2014-03,ACRE,11.35152,14.0244
3213,2014-04,ACRE,11.3465,13.8465
3240,2014-05,ACRE,11.716083333333332,14.5225
3267,2014-06,ACRE,11.357,14.334999999999999
3294,2014-07,ACRE,11.18,14.346
3321,2014-08,ACRE,11.3472,14.345999999999998
3348,2014-09,ACRE,11.3675,14.3435
3375,2014-10,ACRE,11.364999999999998,14.334
3402,2014-11,ACRE,11.7376,14.5396
3429,2014-12,ACRE,11.87205,14.813999999999998
3456,2015-01,ACRE,11.8748,14.8268
3483,2015-02,ACRE,11.8875,15.077000000000002
3510,2015-03,ACRE,12.192,15.394
3537,2015-04,ACRE,12.2995,15.39
3564,2015-05,ACRE,12.2642,15.39
3591,2015-06,ACRE,12.253,15.39
3618,2015-07,ACRE,12.406,15.39
3645,2015-08,ACRE,12.398,15.3845
3672,2015-09,ACRE,12.836500000000001,16.668
3699,2015-10,ACRE,13.12912,16.9096
3726,2015-11,ACRE,13.439499999999999,16.902449999999998
3753,2015-12,ACRE,13.556000000000001,17.025
3780,2016-01,ACRE,13.3392,17.2936
3807,2016-02,ACRE,13.440800000000001,16.815949999999997
3834,2016-03,ACRE,13.4115,16.867
3861,2016-04,ACRE,13.418,17.048000000000002
3888,2016-05,ACRE,13.37,16.9
3915,2016-06,ACRE,13.517,16.887
3942,2016-07,ACRE,13.3036,16.874000000000002
3969,2016-08,ACRE,13.323500000000001,16.8765
3996,2016-09,ACRE,13.3995,16.866
4023,2016-10,ACRE,13.5056,16.945999999999998
4050,2016-11,ACRE,14.2273,17.281
4077,2016-12,ACRE,14.1576,17.31556
4104,2017-01,ACRE,14.268,17.429000000000002
4131,2017-02,ACRE,14.151,16.9495
4158,2017-03,ACRE,14.27345,16.454
4185,2017-04,ACRE,14.568800000000001,17.293999999999997
4212,2017-05,ACRE,15.1,17.354
4239,2017-06,ACRE,15.175,17.454
4266,2017-07,ACRE,15.165999999999999,17.4672
4293,2017-08,ACRE,15.3345,17.2415
4320,2017-09,ACRE,15.8444,17.85636
4347,2017-10,ACRE,16.402499999999996,18.6244
4374,2017-11,ACRE,16.954,19.6999
4401,2017-12,ACRE,17.704,19.81676
4428,2018-01,ACRE,17.825499999999998,20.173
4455,2018-02,ACRE,17.776,20.0726
4482,2018-03,ACRE,18.006800000000002,20.2976
4509,2018-04,ACRE,17.951999999999998,20.6781
4536,2018-05,ACRE,17.8369,20.597550000000002
4563,2018-06,ACRE,17.9836,20.748440000000002
4590,2018-07,ACRE,18.0265,20.545049999999996
4617,2018-08,ACRE,18.041500000000003,21.492449999999998
4644,2018-09,ACRE,18.4028,21.511999999999997
4671,2018-10,ACRE,18.4745,21.3838
4698,2018-11,ACRE,18.109,20.996
4725,2018-12,ACRE,18.026,21.1248
4752,2019-01,ACRE,17.9745,21.5085
4779,2019-02,ACRE,17.9255,21.181
4806,2019-03,ACRE,17.9824,21.1508
4833,2019-04,ACRE,18.3865,21.041
4860,2019-05,ACRE,18.567,21.427500000000002
4887,2019-06,ACRE,18.6156,21.7712
4914,2019-07,ACRE,18.553,20.9725
4941,2019-08,ACRE,18.4024,21.2256
4968,2019-09,ACRE,18.2975,20.817500000000003
4995,2019-10,ACRE,18.31635,20.968
5022,2019-11,ACRE,18.51292,21.264400000000002
5049,2019-12,ACRE,18.75685,21.2127
5076,2020-01,ACRE,19.1365,21.949
5103,2020-02,ACRE,19.445919999999997,22.6308
5130,2020-03,ACRE,19.42245,22.10695
5157,2020-04,ACRE,19.247999999999998,22.07385
5184,2020-05,ACRE,18.89712,21.73556
5211,2020-06,ACRE,18.7805,21.94325
5238,2020-07,ACRE,19.366999999999997,21.9714
5265,2020-08,ACRE,19.746000000000002,22.1491
5292,2020-10,ACRE,17.164833333333334,19.392333333333333
5319,2020-11,ACRE,17.768916666666666,19.977625
5346,2020-12,ACRE,18.49204166666667,20.202625
5373,2021-01,ACRE,18.212233333333334,20.746133333333333
5400,2021-02,ACRE,19.59575,21.69366666666667
5427,2021-03,ACRE,20.681583333333332,23.087416666666666
5454,2021-04,ACRE,20.638749999999998,23.647499999999997
5481,2021-05,ACRE,20.798333333333336,23.58666666666667
1,2004-05,ALAGOAS,6.762066666666667,7.8174
28,2004-06,ALAGOAS,6.5017,7.8483
55,2004-07,ALAGOAS,6.63212,7.87
82,2004-08,ALAGOAS,6.7229,7.8527000000000005
109,2004-09,ALAGOAS,6.738049999999999,7.70805
136,2004-10,ALAGOAS,6.70784,7.71792
163,2004-11,ALAGOAS,6.867,7.7679
190,2004-12,ALAGOAS,7.134600000000001,7.839699999999999
217,2005-01,ALAGOAS,6.97948,7.904160000000001
244,2005-02,ALAGOAS,7.0013000000000005,7.833800000000001
271,2005-03,ALAGOAS,6.89375,7.8176000000000005
298,2005-04,ALAGOAS,6.849600000000001,7.8164
325,2005-05,ALAGOAS,6.69115,7.862900000000001
352,2005-06,ALAGOAS,6.700100000000001,7.8542000000000005
379,2005-07,ALAGOAS,6.69396,7.856319999999999
406,2005-08,ALAGOAS,6.702799999999999,7.8575
433,2005-09,ALAGOAS,6.932250000000001,7.6469
460,2005-10,ALAGOAS,7.021599999999999,8.10108
487,2005-11,ALAGOAS,7.0175,8.00945
514,2005-12,ALAGOAS,7.027240000000001,8.173440000000001
541,2006-01,ALAGOAS,7.0271,8.53095
568,2006-02,ALAGOAS,7.0276,8.43845
595,2006-03,ALAGOAS,7.50465,8.4743
622,2006-04,ALAGOAS,7.55456,8.52648
649,2006-05,ALAGOAS,7.425549999999999,8.5122
676,2006-06,ALAGOAS,7.1333,8.51125
703,2006-07,ALAGOAS,7.099,8.513200000000001
730,2006-08,ALAGOAS,7.43935,8.51145
757,2006-09,ALAGOAS,7.5437199999999995,8.51084
784,2006-10,ALAGOAS,7.5366,8.5139
811,2006-11,ALAGOAS,7.462649999999999,8.51985
838,2006-12,ALAGOAS,7.29728,8.72264
865,2007-01,ALAGOAS,7.1947,8.7181
892,2007-02,ALAGOAS,7.237049999999999,8.4178
919,2007-03,ALAGOAS,6.96604,8.300040000000001
946,2007-04,ALAGOAS,6.88575,8.2838
973,2007-05,ALAGOAS,7.2158,8.314350000000001
1000,2007-06,ALAGOAS,7.195119999999999,8.31416
1027,2007-07,ALAGOAS,6.926900000000001,8.11425
1054,2007-08,ALAGOAS,7.1805,8.1815
1081,2007-09,ALAGOAS,7.11076,8.31572
1108,2007-10,ALAGOAS,7.1004000000000005,8.3122
1135,2007-11,ALAGOAS,7.1869,8.312149999999999
1162,2007-12,ALAGOAS,7.08788,8.31028
1189,2008-01,ALAGOAS,7.48595,8.31645
1216,2008-02,ALAGOAS,7.513299999999999,8.3223
1243,2008-03,ALAGOAS,7.50664,8.32228
1270,2008-04,ALAGOAS,7.5099,8.52675
1297,2008-05,ALAGOAS,7.53832,8.604
1324,2008-06,ALAGOAS,7.5555,8.42705
1351,2008-07,ALAGOAS,7.58065,8.4132
1378,2008-08,ALAGOAS,7.61028,8.45732
1405,2008-09,ALAGOAS,7.6549499999999995,8.462900000000001
1432,2008-10,ALAGOAS,7.634449999999999,8.45895
1459,2008-11,ALAGOAS,7.6248000000000005,8.4732
1486,2008-12,ALAGOAS,7.6134,8.48845
1513,2009-01,ALAGOAS,7.6014,8.504
1540,2009-02,ALAGOAS,7.603,8.47415
1567,2009-03,ALAGOAS,7.608,8.7205
1594,2009-04,ALAGOAS,7.5917,8.893
1621,2009-05,ALAGOAS,7.57748,8.8696
1648,2009-06,ALAGOAS,7.61225,8.84
1675,2009-07,ALAGOAS,7.938899999999999,8.808
1702,2009-08,ALAGOAS,7.950933333333334,8.799866666666667
1729,2009-09,ALAGOAS,8.5167,8.828399999999998
1756,2009-10,ALAGOAS,7.82064,9.40576
1783,2009-11,ALAGOAS,7.831650000000001,9.410599999999999
1810,2009-12,ALAGOAS,8.15325,9.4086
1837,2010-01,ALAGOAS,8.4676,9.539439999999999
1864,2010-02,ALAGOAS,8.373000000000001,9.46035
1891,2010-03,ALAGOAS,8.5803,9.46105
1918,2010-04,ALAGOAS,8.3229,9.44675
1945,2010-05,ALAGOAS,7.977239999999999,9.52256
1972,2010-06,ALAGOAS,7.96135,9.83975
1999,2010-07,ALAGOAS,7.97192,9.837
2026,2010-08,ALAGOAS,8.01685,9.93985
2053,2010-09,ALAGOAS,8.0784,9.84185
2080,2010-10,ALAGOAS,8.01792,9.84372
2107,2010-11,ALAGOAS,8.0649,9.8473
2134,2010-12,ALAGOAS,8.1854,9.8538
2161,2011-01,ALAGOAS,8.35188,9.77376
2188,2011-02,ALAGOAS,8.21845,9.8994
2215,2011-03,ALAGOAS,8.235949999999999,9.888549999999999
2242,2011-04,ALAGOAS,8.25136,9.97444
2269,2011-05,ALAGOAS,8.3117,10.066199999999998
2296,2011-06,ALAGOAS,8.313849999999999,10.0044
2323,2011-07,ALAGOAS,8.29148,10.06524
2350,2011-08,ALAGOAS,8.30285,10.263850000000001
2377,2011-09,ALAGOAS,8.68655,9.94605
2404,2011-10,ALAGOAS,8.70048,9.88884
2431,2011-11,ALAGOAS,8.69175,9.88555
2458,2011-12,ALAGOAS,8.76332,9.998759999999999
2485,2012-01,ALAGOAS,8.448699999999999,9.87255
2512,2012-02,ALAGOAS,8.656600000000001,9.86485
2539,2012-03,ALAGOAS,8.645,9.84668
2566,2012-04,ALAGOAS,8.63215,9.88345
2593,2012-05,ALAGOAS,8.66245,9.8747
2620,2012-06,ALAGOAS,8.6906,9.89628
2647,2012-07,ALAGOAS,8.6464,9.9512
2674,2012-08,ALAGOAS,8.712250000000001,9.9105
2701,2012-09,ALAGOAS,8.58604,9.98856
2728,2012-10,ALAGOAS,8.52645,10.03875
2755,2012-11,ALAGOAS,8.5717,9.9495
2782,2012-12,ALAGOAS,8.53908,9.96384
2809,2013-01,ALAGOAS,7.722347826086957,9.013391304347826
2836,2013-02,ALAGOAS,7.624666666666666,8.744
2863,2013-03,ALAGOAS,7.618266666666667,8.761500000000002
2890,2013-04,ALAGOAS,7.561583333333334,8.775166666666667
2917,2013-05,ALAGOAS,7.399583333333333,8.806666666666667
2944,2013-06,ALAGOAS,7.458699999999999,8.8211
2971,2013-07,ALAGOAS,7.376166666666666,8.831166666666666
2998,2013-08,ALAGOAS,7.3754,8.848466666666667
3025,2013-09,ALAGOAS,7.438291666666667,9.003166666666667
3052,2013-10,ALAGOAS,7.723,9.287916666666666
3079,2013-11,ALAGOAS,7.7314333333333325,9.279633333333333
3106,2013-12,ALAGOAS,7.771583333333333,9.360750000000001
3133,2014-01,ALAGOAS,7.792916666666667,9.387500000000001
3160,2014-02,ALAGOAS,7.8137083333333335,9.625083333333334
3187,2014-03,ALAGOAS,7.8081,9.747233333333332
3214,2014-04,ALAGOAS,7.81175,9.716416666666667
3241,2014-05,ALAGOAS,7.813533333333334,9.727266666666667
3268,2014-06,ALAGOAS,7.815583333333333,9.764458333333334
3295,2014-07,ALAGOAS,7.791625,9.78975
3322,2014-08,ALAGOAS,7.799300000000001,9.778166666666667
3349,2014-09,ALAGOAS,7.825458333333334,10.399625
3376,2014-10,ALAGOAS,7.817791666666666,10.615166666666667
3403,2014-11,ALAGOAS,7.838633333333333,10.786366666666668
3430,2014-12,ALAGOAS,7.861208333333334,10.629791666666668
3457,2015-01,ALAGOAS,7.8649000000000004,10.605866666666666
3484,2015-02,ALAGOAS,7.900916666666667,10.763375000000002
3511,2015-03,ALAGOAS,7.949750000000001,10.787958333333334
3538,2015-04,ALAGOAS,7.957833333333333,10.165791666666665
3565,2015-05,ALAGOAS,7.932533333333334,9.958866666666667
3592,2015-06,ALAGOAS,7.953916666666665,9.948625
3619,2015-07,ALAGOAS,7.960708333333333,9.960416666666667
3646,2015-08,ALAGOAS,8.336782608695652,10.297304347826087
3673,2015-09,ALAGOAS,9.363041666666668,11.176250000000001
3700,2015-10,ALAGOAS,9.47248275862069,11.996724137931036
3727,2015-11,ALAGOAS,9.384708333333334,11.809875
3754,2015-12,ALAGOAS,10.068565217391305,12.316217391304349
3781,2016-01,ALAGOAS,9.844482758620689,12.253689655172412
3808,2016-02,ALAGOAS,9.446125,11.966166666666666
3835,2016-03,ALAGOAS,9.297583333333334,12.005
3862,2016-04,ALAGOAS,9.517366666666668,11.998333333333333
3889,2016-05,ALAGOAS,9.610833333333334,11.988833333333334
3916,2016-06,ALAGOAS,9.714875000000001,11.973791666666665
3943,2016-07,ALAGOAS,9.841586206896553,12.26844827586207
3970,2016-08,ALAGOAS,9.102041666666667,11.964125000000001
3997,2016-09,ALAGOAS,9.128291666666668,11.998791666666667
4024,2016-10,ALAGOAS,9.1088,12.031066666666668
4051,2016-11,ALAGOAS,9.304,12.25625
4078,2016-12,ALAGOAS,9.716800000000001,12.8584
4105,2017-01,ALAGOAS,9.84275,12.916375
4132,2017-02,ALAGOAS,10.258583333333332,12.923166666666667
4159,2017-03,ALAGOAS,9.95375,12.8885
4186,2017-04,ALAGOAS,10.114166666666668,13.738466666666666
4213,2017-05,ALAGOAS,10.254608695652173,14.187217391304348
4240,2017-06,ALAGOAS,10.149833333333333,13.697541666666666
4267,2017-07,ALAGOAS,9.0382,13.728666666666667
4294,2017-08,ALAGOAS,10.357913043478261,13.349173913043478
4321,2017-09,ALAGOAS,10.254566666666667,13.301800000000002
4348,2017-10,ALAGOAS,11.648083333333332,13.929499999999999
4375,2017-11,ALAGOAS,12.192739130434783,14.660869565217391
4402,2017-12,ALAGOAS,12.256586206896554,15.081655172413793
4429,2018-01,ALAGOAS,12.052166666666666,15.553333333333333
4456,2018-02,ALAGOAS,12.31,15.601708333333333
4483,2018-03,ALAGOAS,11.9198,15.586633333333333
4510,2018-04,ALAGOAS,12.173,15.668041666666667
4537,2018-05,ALAGOAS,11.954291666666668,15.742791666666667
4564,2018-06,ALAGOAS,11.327689655172414,13.734310344827588
4591,2018-07,ALAGOAS,12.05475,15.782708333333334
4618,2018-08,ALAGOAS,12.907541666666667,15.790708333333335
4645,2018-09,ALAGOAS,13.431933333333332,15.854833333333334
4672,2018-10,ALAGOAS,13.738375,15.677000000000001
4699,2018-11,ALAGOAS,13.16075,15.6015
4726,2018-12,ALAGOAS,13.315413793103447,15.671793103448277
4753,2019-01,ALAGOAS,13.735652173913044,15.582956521739131
4780,2019-02,ALAGOAS,12.858958333333334,15.119625
4807,2019-03,ALAGOAS,12.9467,15.236799999999999
4834,2019-04,ALAGOAS,13.002916666666666,15.689583333333333
4861,2019-05,ALAGOAS,13.081416666666668,15.859666666666667
4888,2019-06,ALAGOAS,13.057766666666668,15.7718
4915,2019-07,ALAGOAS,12.576958333333332,15.244208333333333
4942,2019-08,ALAGOAS,12.490666666666666,15.174100000000001
4969,2019-09,ALAGOAS,12.395791666666668,15.203208333333334
4996,2019-10,ALAGOAS,12.184333333333333,15.245208333333332
5023,2019-11,ALAGOAS,12.889366666666666,15.234966666666669
5050,2019-12,ALAGOAS,13.014583333333334,15.004791666666668
5077,2020-01,ALAGOAS,12.365458333333335,15.045208333333333
5104,2020-02,ALAGOAS,12.461666666666668,15.252666666666666
5131,2020-03,ALAGOAS,13.047041666666667,15.272708333333334
5158,2020-04,ALAGOAS,12.877458333333335,15.229083333333334
5185,2020-05,ALAGOAS,12.655966666666666,15.194266666666666
5212,2020-06,ALAGOAS,12.632041666666666,14.8375
5239,2020-07,ALAGOAS,12.744124999999999,15.065458333333334
5266,2020-08,ALAGOAS,12.838458333333334,15.035583333333333
5293,2020-10,ALAGOAS,11.331999999999999,13.524214285714285
5320,2020-11,ALAGOAS,11.346928571428572,13.95117857142857
5347,2020-12,ALAGOAS,11.899571428571429,14.369785714285713
5374,2021-01,ALAGOAS,12.341085714285715,14.873885714285715
5401,2021-02,ALAGOAS,12.94517857142857,15.51132142857143
5428,2021-03,ALAGOAS,13.680642857142857,16.32089285714286
5455,2021-04,ALAGOAS,14.04332142857143,16.464035714285714
5482,2021-05,ALAGOAS,14.219142857142858,16.549142857142858
2,2004-05,AMAPA,8.61,11.579166666666666
29,2004-06,AMAPA,8.58,12.658125
56,2004-07,AMAPA,9.0975,12.6575
83,2004-08,AMAPA,8.208125,12.584375
110,2004-09,AMAPA,9.071875,12.6493125
137,2004-10,AMAPA,8.176,12.642999999999999
164,2004-11,AMAPA,8.02875,12.631874999999999
191,2004-12,AMAPA,8.1316875,12.799375
218,2005-01,AMAPA,8.596,12.834999999999999
245,2005-02,AMAPA,9.193125,12.78
272,2005-03,AMAPA,9.236875,12.7825
299,2005-04,AMAPA,9.230500000000001,12.795
326,2005-05,AMAPA,9.22125,12.855
353,2005-06,AMAPA,9.226875,12.855
380,2005-07,AMAPA,9.2325,12.78
407,2005-08,AMAPA,9.2325,12.7675
434,2005-09,AMAPA,8.998125,12.928749999999999
461,2005-10,AMAPA,9.7325,10.883125
488,2005-11,AMAPA,9.821250000000001,11.58625
515,2005-12,AMAPA,9.9054,12.863999999999999
542,2006-01,AMAPA,9.7548125,12.900625
569,2006-02,AMAPA,9.3766875,12.855625
596,2006-03,AMAPA,9.381874999999999,12.923124999999999
623,2006-04,AMAPA,10.147499999999999,13.1725
650,2006-05,AMAPA,10.15625,13.230125
677,2006-06,AMAPA,10.09,13.218125
704,2006-07,AMAPA,10.202,13.26825
731,2006-08,AMAPA,10.15375,13.40625
758,2006-09,AMAPA,10.1375,13.367750000000001
785,2006-10,AMAPA,10.0825,13.438125
812,2006-11,AMAPA,10.07625,13.4375
839,2006-12,AMAPA,10.056000000000001,13.4375
866,2007-01,AMAPA,10.070625,13.4375
893,2007-02,AMAPA,10.0875,13.4375
920,2007-03,AMAPA,10.187000000000001,13.4375
947,2007-04,AMAPA,10.35375,13.45
974,2007-05,AMAPA,10.368125,12.1875
1001,2007-06,AMAPA,10.247,12.47
1028,2007-07,AMAPA,10.209375,13.7625
1055,2007-08,AMAPA,10.19875,13.825
1082,2007-09,AMAPA,9.9315,13.87
1109,2007-10,AMAPA,9.94,13.79375
1136,2007-11,AMAPA,9.814875,13.621875
1163,2007-12,AMAPA,9.8195,13.682999999999998
1190,2008-01,AMAPA,9.88625,13.656875
1217,2008-02,AMAPA,9.94875,13.7125
1244,2008-03,AMAPA,10.093,13.6935
1271,2008-04,AMAPA,10.111875,13.64375
1298,2008-05,AMAPA,10.142999999999999,13.6685
1325,2008-06,AMAPA,10.1475,13.6575
1352,2008-07,AMAPA,10.19875,13.743125
1379,2008-08,AMAPA,10.205499999999999,13.717000000000002
1406,2008-09,AMAPA,10.226875,13.75
1433,2008-10,AMAPA,10.225,13.7375
1460,2008-11,AMAPA,10.2795,13.823500000000001
1487,2008-12,AMAPA,10.369375,14.2025
1514,2009-01,AMAPA,10.049523809523809,13.642857142857142
1541,2009-02,AMAPA,10.428749999999999,14.115625
1568,2009-03,AMAPA,10.23875,14.125625
1595,2009-04,AMAPA,10.3625,14.11875
1622,2009-05,AMAPA,10.4275,14.1655
1649,2009-06,AMAPA,10.4225,14.10625
1676,2009-07,AMAPA,10.526250000000001,14.105
1703,2009-08,AMAPA,10.394166666666667,14.104999999999999
1730,2009-09,AMAPA,11.1646875,11.2859375
1757,2009-10,AMAPA,11.08945,12.824000000000002
1784,2009-11,AMAPA,10.80625,14.928125
1811,2009-12,AMAPA,10.715625,14.94375
1838,2010-01,AMAPA,10.751999999999999,15.044999999999998
1865,2010-02,AMAPA,10.8125,14.988125
1892,2010-03,AMAPA,10.409823529411765,14.261764705882353
1919,2010-04,AMAPA,10.88875,14.9975
1946,2010-05,AMAPA,10.441190476190476,14.349904761904762
1973,2010-06,AMAPA,10.189117647058824,14.15929411764706
2000,2010-07,AMAPA,10.7655,15.29195
2027,2010-08,AMAPA,10.74125,15.56475
2054,2010-09,AMAPA,10.75375,14.316062500000001
2081,2010-10,AMAPA,10.733,14.956999999999999
2108,2010-11,AMAPA,10.735,14.969999999999999
2135,2010-12,AMAPA,11.134375,14.969999999999999
2162,2011-01,AMAPA,11.2675,15.751499999999998
2189,2011-02,AMAPA,11.27125,16.09375
2216,2011-03,AMAPA,11.409375,15.262375
2243,2011-04,AMAPA,11.64,14.673449999999999
2270,2011-05,AMAPA,11.783125,14.183125
2297,2011-06,AMAPA,11.734375,14.268125
2324,2011-07,AMAPA,11.711,16.725
2351,2011-08,AMAPA,11.709875,16.14625
2378,2011-09,AMAPA,11.571875,16.51125
2405,2011-10,AMAPA,11.6985,16.5345
2432,2011-11,AMAPA,11.7175,16.52
2459,2011-12,AMAPA,11.7235,16.506
2486,2012-01,AMAPA,11.731875,16.500625
2513,2012-02,AMAPA,11.72125,17.666875
2540,2012-03,AMAPA,11.669450000000001,17.7475
2567,2012-04,AMAPA,11.675,17.728125
2594,2012-05,AMAPA,11.675,15.71875
2621,2012-06,AMAPA,11.6755,17.0375
2648,2012-07,AMAPA,10.67375,15.9125
2675,2012-08,AMAPA,11.67125,17.5375
2702,2012-09,AMAPA,11.674,17.5375
2729,2012-10,AMAPA,11.705625,17.49625
2756,2012-11,AMAPA,11.685625,17.486875
2783,2012-12,AMAPA,11.706,17.525
2810,2013-01,AMAPA,10.68388888888889,15.832222222222223
2837,2013-02,AMAPA,9.879999999999999,14.5825
2864,2013-03,AMAPA,9.91516,14.6236
2891,2013-04,AMAPA,10.2825,14.694999999999999
2918,2013-05,AMAPA,10.374500000000001,14.713999999999999
2945,2013-06,AMAPA,10.382,14.738
2972,2013-07,AMAPA,10.580000000000002,14.754
2999,2013-08,AMAPA,10.772,14.7552
3026,2013-09,AMAPA,10.7905,14.749
3053,2013-10,AMAPA,10.993,14.746
3080,2013-11,AMAPA,10.5752,14.78
3107,2013-12,AMAPA,11.259,14.798000000000002
3134,2014-01,AMAPA,11.474,14.825
3161,2014-02,AMAPA,11.519499999999999,15.436000000000002
3188,2014-03,AMAPA,11.475999999999999,14.7304
3215,2014-04,AMAPA,11.6665,15.48
3242,2014-05,AMAPA,11.7676,15.4848
3269,2014-06,AMAPA,11.777000000000001,15.488
3296,2014-07,AMAPA,11.781,15.488
3323,2014-08,AMAPA,11.8072,15.4968
3350,2014-09,AMAPA,11.808499999999999,15.71215
